show_id,type,date_added,release_year,rating,duration
s162,Movie,"September 1, 2021",1996,PG-13,106 min
s163,Movie,"September 1, 2021",2017,PG-13,118 min
s164,Movie,"September 1, 2021",2003,R,86 min
s165,Movie,"September 1, 2021",1999,PG-13,121 min
s166,TV Show,"September 1, 2021",2019,TV-MA,1 Season
s167,Movie,"September 1, 2021",1984,R,229 min
s168,Movie,"September 1, 2021",2008,PG,76 min
s169,Movie,"September 1, 2021",2001,PG,95 min
s170,Movie,"September 1, 2021",2006,PG-13,98 min
s171,Movie,"September 1, 2021",1997,R,89 min
s172,Movie,"September 1, 2021",2017,PG-13,120 min
s173,Movie,"September 1, 2021",2003,PG-13,110 min
s174,Movie,"September 1, 2021",2015,PG-13,83 min
s175,Movie,"September 1, 2021",2003,R,121 min
s176,Movie,"September 1, 2021",1980,R,105 min
s177,Movie,"September 1, 2021",1986,PG-13,94 min
s178,Movie,"September 1, 2021",1961,TV-14,156 min
s179,Movie,"September 1, 2021",2014,R,112 min
s180,Movie,"September 1, 2021",1996,PG-13,95 min
s181,Movie,"September 1, 2021",2000,PG-13,107 min
s182,TV Show,"September 1, 2021",2021,TV-14,1 Season
s183,Movie,"September 1, 2021",2008,PG-13,114 min
s184,Movie,"August 31, 2021",1993,R,129 min
s185,TV Show,"August 31, 2021",2021,TV-PG,1 Season
s186,Movie,"August 31, 2021",2021,TV-MA,86 min
s187,TV Show,"August 29, 2021",2021,TV-14,1 Season
s188,TV Show,"August 29, 2021",2021,TV-G,1 Season
s189,Movie,"August 28, 2021",2008,TV-MA,97 min
s190,TV Show,"August 28, 2021",2020,TV-Y,2 Seasons
s191,Movie,"August 28, 2021",2021,TV-14,125 min
s192,Movie,"August 28, 2021",2017,R,107 min
s193,Movie,"August 27, 2021",2008,TV-14,127 min
s194,TV Show,"August 27, 2021",2021,TV-MA,1 Season
s195,TV Show,"August 27, 2021",2002,TV-MA,1 Season
s196,Movie,"August 27, 2021",2008,TV-14,128 min
s197,Movie,"August 27, 2021",2021,TV-14,92 min
s198,TV Show,"August 27, 2021",2021,TV-Y7,1 Season
s199,TV Show,"August 27, 2021",2021,TV-MA,1 Season
s200,Movie,"August 27, 2021",2006,TV-14,135 min
s201,Movie,"August 27, 2021",2004,TV-14,124 min
s202,Movie,"August 27, 2021",2003,TV-14,136 min
s203,Movie,"August 27, 2021",2005,TV-MA,165 min
s204,Movie,"August 27, 2021",2016,TV-MA,124 min
s205,Movie,"August 27, 2021",2012,TV-MA,136 min
s206,Movie,"August 27, 2021",2001,TV-14,150 min
s207,Movie,"August 27, 2021",2010,TV-MA,112 min
s208,Movie,"August 27, 2021",2008,TV-14,119 min
s209,Movie,"August 27, 2021",2010,TV-14,133 min
s210,Movie,"August 27, 2021",2013,TV-14,142 min
s211,Movie,"August 27, 2021",2011,TV-MA,93 min
s212,Movie,"August 27, 2021",2014,TV-MA,113 min
s213,TV Show,"August 27, 2021",2016,TV-MA,2 Seasons
s214,TV Show,"August 27, 2021",2021,TV-PG,3 Seasons
s215,Movie,"August 27, 2021",2021,R,124 min
s216,Movie,"August 27, 2021",2007,TV-MA,116 min
s217,Movie,"August 27, 2021",2011,TV-14,106 min
s218,Movie,"August 27, 2021",2011,TV-14,145 min
s219,TV Show,"August 27, 2021",2021,TV-14,1 Season
s220,TV Show,"August 26, 2021",2021,TV-14,1 Season
s221,TV Show,"August 26, 2021",2021,TV-PG,4 Seasons
s222,Movie,"August 25, 2021",2021,TV-14,93 min
s223,TV Show,"August 25, 2021",2021,TV-MA,1 Season
s224,TV Show,"August 25, 2021",2021,TV-MA,1 Season
s225,TV Show,"August 25, 2021",2021,TV-14,1 Season
s226,TV Show,"August 25, 2021",2021,TV-MA,1 Season
s227,TV Show,"August 25, 2021",2021,TV-MA,1 Season
s228,Movie,"August 25, 2021",2020,TV-MA,95 min
s229,Movie,"August 25, 2021",2014,R,108 min
s230,Movie,"August 25, 2021",2020,TV-MA,90 min
s231,Movie,"August 25, 2021",2021,TV-MA,86 min
s232,Movie,"August 25, 2021",2021,PG,92 min
s233,TV Show,"August 25, 2021",2019,TV-G,3 Seasons
s234,Movie,"August 24, 2021",2021,TV-MA,82 min
s235,TV Show,"August 24, 2021",2021,TV-Y,1 Season
s236,Movie,"August 24, 2021",2021,TV-PG,70 min
s237,Movie,"August 23, 2021",2021,TV-14,122 min
s238,Movie,"August 23, 2021",2021,TV-14,122 min
s239,Movie,"August 23, 2021",2021,TV-14,122 min
s240,Movie,"August 23, 2021",2021,TV-14,122 min
s241,Movie,"August 23, 2021",2021,TV-MA,84 min
s242,TV Show,"August 21, 2021",2021,TV-14,3 Seasons
s243,TV Show,"August 20, 2021",2021,TV-MA,1 Season
s244,TV Show,"August 20, 2021",2021,TV-MA,1 Season
s245,Movie,"August 20, 2021",2018,TV-14,96 min
s246,TV Show,"August 20, 2021",2021,TV-PG,1 Season
s247,Movie,"August 20, 2021",2021,TV-MA,115 min
s248,Movie,"August 20, 2021",2021,R,110 min
s249,TV Show,"August 20, 2021",2021,TV-MA,1 Season
s250,Movie,"August 20, 2021",2021,TV-Y7,88 min
s251,Movie,"August 19, 2021",2020,TV-PG,102 min
s252,Movie,"August 19, 2021",2011,PG-13,91 min
s253,Movie,"August 18, 2021",2021,TV-MA,105 min
s254,Movie,"August 18, 2021",1995,TV-14,135 min
s255,TV Show,"August 18, 2021",2021,TV-Y,5 Seasons
s256,Movie,"August 18, 2021",2021,TV-MA,86 min
s257,Movie,"August 18, 2021",2020,TV-14,140 min
s258,Movie,"August 18, 2021",2015,TV-14,133 min
s259,Movie,"August 18, 2021",2020,TV-MA,92 min
s260,Movie,"August 18, 2021",2018,TV-PG,82 min
s261,TV Show,"August 18, 2021",2020,TV-MA,1 Season
s262,Movie,"August 18, 2021",2021,TV-14,97 min
s263,Movie,"August 18, 2021",2021,TV-MA,78 min
s264,TV Show,"August 16, 2021",2016,TV-Y,2 Seasons
s265,Movie,"August 16, 2021",2014,R,94 min
s266,TV Show,"August 15, 2021",2018,TV-14,1 Season
s267,TV Show,"August 15, 2021",2020,TV-MA,1 Season
s268,Movie,"August 15, 2021",1993,R,121 min
s269,Movie,"August 15, 2021",2020,TV-MA,97 min
s270,TV Show,"August 15, 2021",2015,TV-Y7,2 Seasons
s271,Movie,"August 13, 2021",2021,TV-MA,110 min
s272,TV Show,"August 13, 2021",2021,TV-MA,1 Season
s273,TV Show,"August 13, 2021",2021,TV-Y7,5 Seasons
s274,TV Show,"August 13, 2021",2021,TV-MA,1 Season
s275,TV Show,"August 13, 2021",2021,TV-MA,7 Seasons
s276,TV Show,"August 13, 2021",2021,TV-MA,1 Season
